demo run with success.

log:

0.22381 0.55742 -0.05496 0.33071
0.22619 0.55486 -0.05156 0.33180
0.22857 0.55231 -0.04814 0.33280
0.23095 0.54974 -0.04471 0.33372
0.23333 0.54717 -0.04127 0.33456
0.23571 0.54460 -0.03782 0.33531
0.23810 0.54202 -0.03437 0.33599
0.24048 0.53945 -0.03090 0.33658
0.24286 0.53687 -0.02743 0.33708
0.24524 0.53429 -0.02396 0.33750
0.24762 0.53172 -0.02049 0.33784
0.25000 0.52915 -0.01701 0.33810
0.25238 0.52658 -0.01353 0.33828
0.25476 0.52402 -0.01006 0.33837
0.25714 0.52146 -0.00658 0.33838
0.25952 0.51892 -0.00311 0.33831
0.26190 0.51638 0.00035 0.33817
0.26429 0.51385 0.00381 0.33794
0.26667 0.51134 0.00727 0.33763
0.26905 0.50884 0.01071 0.33725
0.27143 0.50635 0.01415 0.33680
0.27381 0.50388 0.01758 0.33626
0.27619 0.50142 0.02099 0.33566
0.27857 0.49899 0.02439 0.33498
0.28095 0.49657 0.02778 0.33422
0.28333 0.49417 0.03115 0.33340
0.28571 0.49180 0.03451 0.33251
0.28810 0.48945 0.03785 0.33156
0.29048 0.48712 0.04117 0.33053
0.29286 0.48481 0.04447 0.32944
0.29524 0.48254 0.04776 0.32829
0.29762 0.48029 0.05101 0.32708
0.30000 0.47807 0.05425 0.32581
0.30238 0.47588 0.05746 0.32448
0.30476 0.47371 0.06065 0.32309
0.30714 0.47158 0.06381 0.32165
0.30952 0.46949 0.06695 0.32015
0.31190 0.46742 0.07005 0.31861
0.31429 0.46539 0.07313 0.31701
0.31667 0.46339 0.07618 0.31537
0.31905 0.46143 0.07919 0.31368
0.32143 0.45951 0.08218 0.31194
0.32381 0.45762 0.08513 0.31017
0.32619 0.45576 0.08805 0.30835
0.32857 0.45395 0.09093 0.30649
0.33095 0.45217 0.09378 0.30460
0.33333 0.45043 0.09660 0.30268
0.33571 0.44873 0.09938 0.30072
0.33810 0.44707 0.10212 0.29872
0.34048 0.44545 0.10482 0.29670
0.34286 0.44386 0.10749 0.29466
0.34524 0.44232 0.11011 0.29259
0.34762 0.44081 0.11270 0.29049
0.35000 0.43934 0.11525 0.28838
0.35238 0.43791 0.11776 0.28624
0.35476 0.43652 0.12023 0.28409
0.35714 0.43517 0.12266 0.28192
0.35952 0.43386 0.12504 0.27974
0.36190 0.43259 0.12739 0.27755
0.36429 0.43135 0.12970 0.27534
0.36667 0.43015 0.13196 0.27314
0.36905 0.42899 0.13418 0.27092
0.37143 0.42786 0.13636 0.26870
0.37381 0.42677 0.13850 0.26648
0.37619 0.42572 0.14060 0.26425
0.37857 0.42470 0.14266 0.26203
0.38095 0.42372 0.14467 0.25982
0.38333 0.42277 0.14664 0.25760
0.38571 0.42185 0.14858 0.25539
0.38810 0.42096 0.15047 0.25319
0.39048 0.42011 0.15231 0.25101
0.39286 0.41929 0.15412 0.24883
0.39524 0.41850 0.15589 0.24666
0.39762 0.41774 0.15762 0.24451
0.40000 0.41700 0.15931 0.24237
0.40238 0.41630 0.16095 0.24025
0.40476 0.41562 0.16256 0.23815
0.40714 0.41497 0.16413 0.23607
0.40952 0.41435 0.16566 0.23401
0.41190 0.41375 0.16715 0.23197
0.41429 0.41317 0.16860 0.22996
0.41667 0.41262 0.17001 0.22797
0.41905 0.41209 0.17138 0.22600
0.42143 0.41159 0.17272 0.22406
0.42381 0.41110 0.17402 0.22215
0.42619 0.41064 0.17528 0.22027
0.42857 0.41020 0.17650 0.21842
0.43095 0.40978 0.17769 0.21660
0.43333 0.40938 0.17883 0.21481
0.43571 0.40899 0.17994 0.21306
0.43810 0.40863 0.18102 0.21134
0.44048 0.40828 0.18205 0.20966
0.44286 0.40795 0.18305 0.20801
0.44524 0.40764 0.18402 0.20640
0.44762 0.40734 0.18494 0.20484
0.45000 0.40706 0.18583 0.20331
0.45238 0.40679 0.18668 0.20183
0.45476 0.40654 0.18750 0.20039
0.45714 0.40631 0.18827 0.19900
0.45952 0.40609 0.18902 0.19765
0.46190 0.40588 0.18972 0.19636
0.46429 0.40568 0.19039 0.19511
0.46667 0.40550 0.19101 0.19392
0.46905 0.40534 0.19161 0.19277
0.47143 0.40518 0.19216 0.19169
0.47381 0.40504 0.19268 0.19066
0.47619 0.40491 0.19316 0.18969
0.47857 0.40479 0.19361 0.18878
0.48095 0.40468 0.19402 0.18793
0.48333 0.40459 0.19439 0.18714
0.48571 0.40450 0.19472 0.18642
0.48810 0.40442 0.19502 0.18576
0.49048 0.40436 0.19529 0.18516
0.49286 0.40430 0.19552 0.18463
0.49524 0.40426 0.19572 0.18416
0.49762 0.40422 0.19589 0.18376
