demo run with success.

log:

0.25800 0.09470 0.82409 10.07581
0.25900 0.09552 0.83429 10.19617
0.26000 0.09635 0.84460 10.31588
0.26100 0.09720 0.85504 10.43494
0.26200 0.09805 0.86559 10.55339
0.26300 0.09892 0.87626 10.67125
0.26400 0.09980 0.88705 10.78852
0.26500 0.10068 0.89796 10.90522
0.26600 0.10158 0.90898 11.02136
0.26700 0.10249 0.92011 11.13694
0.26800 0.10341 0.93137 11.25196
0.26900 0.10434 0.94273 11.36642
0.27000 0.10528 0.95421 11.48031
0.27100 0.10624 0.96581 11.59362
0.27200 0.10720 0.97751 11.70632
0.27300 0.10818 0.98933 11.81840
0.27400 0.10917 1.00126 11.92982
0.27500 0.11017 1.01330 12.04055
0.27600 0.11118 1.02545 12.15054
0.27700 0.11221 1.03771 12.25976
0.27800 0.11325 1.05008 12.36815
0.27900 0.11430 1.06256 12.47565
0.28000 0.11536 1.07514 12.58219
0.28100 0.11644 1.08783 12.68772
0.28200 0.11752 1.10062 12.79215
0.28300 0.11862 1.11351 12.89541
0.28400 0.11974 1.12651 12.99741
0.28500 0.12086 1.13961 13.09806
0.28600 0.12200 1.15281 13.19727
0.28700 0.12316 1.16610 13.29494
0.28800 0.12432 1.17949 13.39098
0.28900 0.12550 1.19298 13.48526
0.29000 0.12670 1.20656 13.57770
0.29100 0.12790 1.22022 13.66816
0.29200 0.12912 1.23398 13.75655
0.29300 0.13036 1.24782 13.84274
0.29400 0.13160 1.26175 13.92661
0.29500 0.13287 1.27576 14.00805
0.29600 0.13414 1.28984 14.08693
0.29700 0.13543 1.30401 14.16313
0.29800 0.13674 1.31824 14.23654
0.29900 0.13805 1.33255 14.30702
0.30000 0.13939 1.34693 14.37446
0.30100 0.14073 1.36136 14.43874
0.30200 0.14209 1.37586 14.49974
0.30300 0.14347 1.39042 14.55735
0.30400 0.14486 1.40503 14.61144
0.30500 0.14627 1.41969 14.66191
0.30600 0.14769 1.43440 14.70865
0.30700 0.14912 1.44915 14.75155
0.30800 0.15057 1.46395 14.79050
0.30900 0.15203 1.47877 14.82541
0.31000 0.15351 1.49363 14.85618
0.31100 0.15501 1.50851 14.88272
0.31200 0.15651 1.52341 14.90493
0.31300 0.15804 1.53834 14.92274
0.31400 0.15958 1.55327 14.93606
0.31500 0.16113 1.56822 14.94481
0.31600 0.16270 1.58317 14.94894
0.31700 0.16428 1.59812 14.94835
0.31800 0.16588 1.61306 14.94301
0.31900 0.16749 1.62799 14.93284
0.32000 0.16912 1.64291 14.91779
0.32100 0.17076 1.65781 14.89782
0.32200 0.17242 1.67268 14.87288
0.32300 0.17409 1.68752 14.84293
0.32400 0.17578 1.70233 14.80794
0.32500 0.17748 1.71710 14.76788
0.32600 0.17920 1.73182 14.72271
0.32700 0.18093 1.74649 14.67243
0.32800 0.18268 1.76111 14.61702
0.32900 0.18444 1.77567 14.55646
0.33000 0.18621 1.79016 14.49075
0.33100 0.18800 1.80458 14.41988
0.33200 0.18981 1.81892 14.34387
0.33300 0.19163 1.83318 14.26271
0.33400 0.19346 1.84736 14.17642
0.33500 0.19531 1.86145 14.08502
0.33600 0.19717 1.87543 13.98853
0.33700 0.19905 1.88932 13.88698
0.33800 0.20093 1.90310 13.78040
0.33900 0.20284 1.91677 13.66882
0.34000 0.20475 1.93032 13.55229
0.34100 0.20669 1.94375 13.43086
0.34200 0.20863 1.95706 13.30459
0.34300 0.21059 1.97023 13.17351
0.34400 0.21256 1.98327 13.03772
0.34500 0.21454 1.99617 12.89726
0.34600 0.21654 2.00892 12.75222
0.34700 0.21854 2.02152 12.60268
0.34800 0.22057 2.03397 12.44872
0.34900 0.22260 2.04626 12.29043
0.35000 0.22465 2.05839 12.12792
0.35100 0.22670 2.07035 11.96128
0.35200 0.22878 2.08214 11.79062
0.35300 0.23086 2.09376 11.61606
0.35400 0.23295 2.10519 11.43771
0.35500 0.23506 2.11645 11.25570
0.35600 0.23717 2.12752 11.07016
0.35700 0.23930 2.13840 10.88123
0.35800 0.24144 2.14909 10.68903
0.35900 0.24359 2.15958 10.49372
0.36000 0.24575 2.16988 10.29545
0.36100 0.24792 2.17997 10.09435
0.36200 0.25010 2.18986 9.89059
0.36300 0.25229 2.19955 9.68433
0.36400 0.25449 2.20902 9.47572
0.36500 0.25670 2.21829 9.26493
0.36600 0.25891 2.22734 9.05212
0.36700 0.26114 2.23618 8.83745
0.36800 0.26338 2.24480 8.62110
0.36900 0.26562 2.25320 8.40321
0.37000 0.26788 2.26139 8.18397
0.37100 0.27014 2.26935 7.96353
0.37200 0.27241 2.27709 7.74205
0.37300 0.27468 2.28461 7.51970
0.37400 0.27697 2.29191 7.29662
0.37500 0.27926 2.29898 7.07298
0.37600 0.28156 2.30583 6.84891
0.37700 0.28386 2.31246 6.62457
0.37800 0.28618 2.31886 6.40008
0.37900 0.28850 2.32503 6.17559
0.38000 0.29082 2.33098 5.95122
0.38100 0.29315 2.33671 5.72709
0.38200 0.29549 2.34221 5.50331
0.38300 0.29783 2.34749 5.27998
0.38400 0.30018 2.35255 5.05720
0.38500 0.30253 2.35739 4.83506
0.38600 0.30489 2.36200 4.61363
0.38700 0.30725 2.36639 4.39300
0.38800 0.30962 2.37057 4.17321
0.38900 0.31199 2.37452 3.95432
0.39000 0.31436 2.37826 3.73638
0.39100 0.31674 2.38178 3.51942
0.39200 0.31912 2.38508 3.30345
0.39300 0.32151 2.38817 3.08850
0.39400 0.32389 2.39104 2.87458
0.39500 0.32629 2.39370 2.66167
0.39600 0.32868 2.39615 2.44976
0.39700 0.33108 2.39839 2.23885
0.39800 0.33347 2.40042 2.02889
0.39900 0.33587 2.40224 1.81985
0.40000 0.33828 2.40385 1.61168
0.40100 0.34068 2.40526 1.40434
0.40200 0.34309 2.40645 1.19776
0.40300 0.34549 2.40745 0.99188
0.40400 0.34790 2.40823 0.78662
